Gene	Operon
SM2011_c00692	526
SM2011_c00689	527
SM2011_c00686	528
SM2011_c00683	529
SM2011_c00682	530
SM2011_c00674	531
SM2011_c00673	532
SM2011_c00671	533
SM2011_c00665	534
SM2011_c00662	535
SM2011_c00648	536
SM2011_c00643	537
SM2011_c00640	538
SM2011_c02941	539
SM2011_c03958	540
SM2011_c03961	541
SM2011_c03965	542
SM2011_c03967	543
SM2011_c03972	544
SM2011_c03977	545
SM2011_c03978	546
SM2011_c03987	547
SM2011_c03993	548
SM2011_c03996	549
SM2011_c03997	550
SM2011_c04000	551
SM2011_c04006	552
SM2011_c04007	553
SM2011_c04012	554
SM2011_c04020	555
SM2011_c04032	556
SM2011_c04033	557
SM2011_c04049	558
SM2011_c04051	559
SM2011_c04057	560
SM2011_c04460	561
SM2011_c03923	562
SM2011_c03927	563
SM2011_c03932	564
SM2011_c03950	565
SM2011_c02975	566
SM2011_c02978	567
SM2011_c02983	568
SM2011_c02985	569
SM2011_c02988	570
SM2011_c03151	571
SM2011_c03154	572
SM2011_c03159	573
SM2011_c03166	574
SM2011_c03168	575
SM2011_c03172	576
SM2011_c03176	577
SM2011_c03179	578
SM2011_c03188	579
SM2011_c03193	580
SM2011_c03197	581
SM2011_c03201	582
SM2011_c03207	583
SM2011_c03147	584
SM2011_c03139	585
SM2011_c03136	586
SM2011_c03131	587
SM2011_c03124	588
SM2011_c03121	589
SM2011_c02840	590
SM2011_c03109	591
SM2011_c03106	592
SM2011_c03102	593
SM2011_c04444	594
SM2011_c02524	595
SM2011_c02520	596
SM2011_c02509	597
SM2011_c02498	598
SM2011_c02493	599
SM2011_c02490	600
SM2011_c02484	601
SM2011_c02479	602
SM2011_c02476	603
SM2011_c02471	604
SM2011_c02470	605
SM2011_c02463	606
SM2011_c03230	607
SM2011_c03231	608
SM2011_c03233	609
SM2011_c02291	164
SM2011_c03246	611
SM2011_c03249	612
SM2011_c03250	613
SM2011_c03267	614
SM2011_c05012	615
SM2011_c03278	616
SM2011_c03282	617
SM2011_c03287	618
SM2011_c03293	619
SM2011_c02298	123
SM2011_c03301	621
SM2011_c03762	622
SM2011_c03766	623
SM2011_c03769	624
SM2011_c03770	625
SM2011_c03773	626
SM2011_c03782	627
SM2011_c03787	628
SM2011_c03790	629
SM2011_c03793	630
SM2011_c03795	631
SM2011_c03797	632
SM2011_c03800	633
SM2011_c03802	634
SM2011_c03806	635
SM2011_c03812	636
SM2011_c03815	637
SM2011_c03816	638
SM2011_c03820	639
SM2011_c03824	640
SM2011_c03829	641
SM2011_c03837	642
SM2011_c03843	643
SM2011_c03847	644
SM2011_c03849	645
SM2011_c03856	646
SM2011_c03857	647
SM2011_c03860	648
SM2011_c03864	649
SM2011_c03868	650
SM2011_c03869	651
SM2011_c03884	652
SM2011_c03893	653
SM2011_c03899	654
SM2011_c04383	655
SM2011_c04390	656
SM2011_c04395	657
SM2011_c04401	658
SM2011_c04408	659
SM2011_c04091	660
SM2011_c02804	661
SM2011_c02798	662
SM2011_c02794	663
SM2011_a0002	664
SM2011_a0028	665
SM2011_a0034	666
SM2011_a0050	667
SM2011_a0060	668
SM2011_a0063	669
SM2011_a0070	670
SM2011_a0079	671
SM2011_a0101	672
SM2011_a0113	673
SM2011_a0116	674
SM2011_a0123	675
SM2011_a0128	676
SM2011_a5002	677
SM2011_a0136	678
SM2011_a0143	679
SM2011_a0157	680
SM2011_a0163	681
SM2011_a0189	682
SM2011_a0193	683
SM2011_a0203	684
SM2011_a0204	685
SM2011_a0218	686
SM2011_a0241	687
SM2011_a0244	688
SM2011_a0247	689
SM2011_a0265	690
SM2011_a0267	691
SM2011_a0288	692
SM2011_a0302	693
SM2011_a0312	694
SM2011_a0325	695
SM2011_a0333	696
SM2011_a0339	697
SM2011_a0346	698
SM2011_a0352	699
SM2011_a0360	700
SM2011_a0376	701
SM2011_a5019	702
SM2011_a0391	703
SM2011_a0402	704
SM2011_a0417	705
SM2011_a0426	706
SM2011_a0431	707
SM2011_a5022	708
SM2011_a0445	709
SM2011_a0467	710
SM2011_a0471	711
SM2011_a0486	712
SM2011_a0495	713
SM2011_a0499	714
SM2011_a0522	715
SM2011_a0537	716
SM2011_a0548	717
SM2011_a0552	718
SM2011_a0561	719
SM2011_a0575	720
SM2011_a0583	721
SM2011_a0590	722
SM2011_a0592	723
SM2011_a0604	724
SM2011_a0612	725
SM2011_a0620	726
SM2011_a0631	727
SM2011_a0637	728
SM2011_a0643	729
